"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 09 08:25:12 UTC 2024","Thu May 09 08:25:12 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Thu May 09 06:04:02 UTC 2024","Thu May 09 06:04:02 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu May 09 06:42:00 UTC 2024","Thu May 09 06:42:09 UTC 2024","9333","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu May 09 06:08:53 UTC 2024","Thu May 09 06:08:54 UTC 2024","1405","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu May 09 06:41:56 UTC 2024","Thu May 09 06:42:00 UTC 2024","4112","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"broken","Thu May 09 06:04:02 UTC 2024","Thu May 09 06:04:02 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu May 09 07:28:34 UTC 2024","Thu May 09 07:28:41 UTC 2024","7696","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Thu May 09 06:41:39 UTC 2024","Thu May 09 06:41:49 UTC 2024","9560","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"failed","Thu May 09 06:42:32 UTC 2024","Thu May 09 06:45:04 UTC 2024","151780","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu May 09 07:28:41 UTC 2024","Thu May 09 07:29:02 UTC 2024","20782","","21. Forgot password function","","","","2. Reset password",""
"skipped","Thu May 09 06:27:07 UTC 2024","Thu May 09 06:27:07 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu May 09 06:54:24 UTC 2024","Thu May 09 06:54:34 UTC 2024","9730","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"broken","Thu May 09 08:25:12 UTC 2024","Thu May 09 08:25:12 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu May 09 06:47:28 UTC 2024","Thu May 09 06:47:42 UTC 2024","14058","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Thu May 09 06:27:07 UTC 2024","Thu May 09 06:27:07 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Thu May 09 06:04:02 UTC 2024","Thu May 09 06:04:02 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
